"Title","Context","Country","Document","Document type","Global cluster","HPC Document Repository","Life cycle steps","Media","Original publication date","Population Types","Post date","Published","Updated date","Description","Path","Nid"
"Assessment Working Group (AWG) – Terms of Reference (Iraq context) 2019 / 2020","","Iraq","https://assessments.hpc.tools/sites/default/files/km/20180219_awg_iraq_tors_v.4_endorsed.pdf, https://assessments.hpc.tools/sites/default/files/km/202002%20AWG%20Iraq%20TORs%20v.6.docx","Example","","","Localise coordinated assessment strategy, Establishing coordination to support coordinated assessments","","2020-02-20T00:00:00","","2018-09-10","Yes","2020-03-11","
	Assessment Working Group (AWG) – Terms of Reference  Revised 20 February 2020
	Assessment Working Group (AWG) – Terms of Reference  20 February 2019
	
	 

","/km/assessment-working-group-awg-%E2%80%93-terms-reference-iraq-context-2019-2020","4985"
"Terms of Reference: Assessment Working Group (Syria context)","Rural, Urban","Syrian Arab Republic","https://assessments.hpc.tools/sites/default/files/km/AWG-TOR_SAMI_Turkey_2014.docx","Example","","Needs Assessment and Analysis","Establishing coordination to support coordinated assessments","","","","2018-09-10","Yes","2019-04-17","Terms of Reference for Syria Assessment and Monitoring Initiative (SAMI) June 2014

The SAMI aims to be a multi-sector, multi-stakeholder group that supports a process to ensure the provision of timely, credible and useful information and analysis to inform decisions related to the humanitarian situation in Syria.
","/km/terms-reference-assessment-working-group-syria-context","4986"
"Operational Guidance on Coordinated Assessments in Humanitarian Crises","Rural","","https://assessments.hpc.tools/sites/default/files/km/02_ops_guidance_coordinated_assessments_2012_0.pdf","Guidance","","","Establishing coordination to support coordinated assessments","","","All affected population","2018-11-13","Yes","2018-11-14","","/km/operational-guidance-coordinated-assessments-humanitarian-crises","5546"
"Assessment Registry Briefing","","Iraq","https://assessments.hpc.tools/sites/default/files/km/Assessment_Registry_Briefing_Iraq.zip","Example","","","Determining current state of needs assessment","","","","2018-11-15","Yes","2019-04-15","","/km/assessment-registry-briefing","5564"
"Introduction to Assessment Registry","","","https://assessments.hpc.tools/sites/default/files/km/intro_doc_assessment_registry.pdf","Guidance","","","Determining current state of needs assessment","","","","2018-11-15","Yes","2018-11-15","","/km/introduction-assessment-registry","5565"
"Reference Module for Cluster Coordination at Country Level","","","https://assessments.hpc.tools/sites/default/files/km/cluster_coordination_reference_module_2015_0.pdf","Guidance","","","Establishing coordination to support coordinated assessments, Understanding of context and enabling factors, Determining current state of needs assessment","","2017-07-01T00:00:00","","2018-11-15","Yes","2020-03-11","","/km/reference-module-cluster-coordination-country-level","5566"
"Operational Guidance on Responsibilities of Cluster / Sector Leads and OCHA in Information Management ","","","https://assessments.hpc.tools/sites/default/files/km/01sector_cluster_leads_and_ocha_in_im_0.pdf","Guidance","","","Establishing coordination to support coordinated assessments","","","","2018-11-15","Yes","2018-11-15","","/km/operational-guidance-responsibilities-cluster-sector-leads-and-ocha-information-management","5567"
"OCHA’s 3W: Purpose, Target Audience, Scope and Products","","","https://assessments.hpc.tools/sites/default/files/km/ocha_3ws.pdf","Guidance","","","Availability of needs & response data and information gaps","","","","2018-11-15","Yes","2018-11-15","","/km/ocha%E2%80%99s-3w-purpose-target-audience-scope-and-products","5568"
"UNHCR: Needs Assessment Handbook","","","https://assessments.hpc.tools/sites/default/files/km/2017-05_NAH_BOOK_lowres_2017-08-14_part1.pdf","Guidance","","","Localise coordinated assessment strategy, Designing Primary Data Collection methods","","2017-05-01T00:00:00","","2018-11-15","Yes","2020-03-11","","/km/unhcr-needs-assessment-handbook","5569"
"Geo-Spatial density analysis to estimate affected population","","","https://assessments.hpc.tools/sites/default/files/km/Geo-spatial%20analysis%20to%20calculate%20affected%20population%20-%20Libya%20HNO%202016-%20Guide.docx","Example","","","Designing Secondary Data Review (SDR) methods","","","All affected population","2018-11-15","Yes","2018-11-15","","/km/geo-spatial-density-analysis-estimate-affected-population","5570"
"Using Modified Mercalli Intensity (MMI) scale to estimate population exposed to Earthquake shaking","","","https://assessments.hpc.tools/sites/default/files/km/Using%20MMI%20scale%20to%20calculate%20population%20exposed%20to%20EQ%20shaking-OCHA%20IMOs%20Guide.docx","Example","","","Designing Secondary Data Review (SDR) methods","","","All affected population","2018-11-15","Yes","2018-11-15","","/km/using-modified-mercalli-intensity-mmi-scale-estimate-population-exposed-earthquake-shaking","5571"
"Iraq Inter-Agency Rapid Needs Assessment Tool (RNA)","","Iraq","https://assessments.hpc.tools/sites/default/files/km/4._rna_national_methodology_and_procedures_for_enumerators_0.pdf","Example","","","Designing Primary Data Collection methods","","","All affected population","2018-11-15","Yes","2019-04-15","","/km/iraq-inter-agency-rapid-needs-assessment-tool-rna","5573"
"Iraq RNA Questionnaire","","Iraq","https://assessments.hpc.tools/sites/default/files/km/6._iraq_-_rna_v0.3_questionnaire_english_rev.pdf","Example","","","Designing Primary Data Collection methods","","","All affected population","2018-11-15","Yes","2019-04-15","","/km/iraq-rna-questionnaire","5574"
"Analysis Plan: MSNA Syria 2014","","Syrian Arab Republic","https://assessments.hpc.tools/sites/default/files/km/AnalysisPlan_MSNA-AWG_Turkey_2014.xlsx","Example","","","Designing Primary Data Collection methods","","","All affected population","2018-11-15","Yes","2019-04-15","","/km/analysis-plan-msna-syria-2014","5575"
"Syria MSNA 2014: Summary Primary Data Analysis Plan","","Syrian Arab Republic","https://assessments.hpc.tools/sites/default/files/km/DataAnalysisPlan_MSNA-AWG_Turkey_2014.docx","Example","","","Designing Primary Data Collection methods","","","All affected population","2018-11-15","Yes","2019-04-15","","/km/syria-msna-2014-summary-primary-data-analysis-plan","5576"
